exercise_id,name_en,name_nl,focus,difficulty,senior_safe,puppy_safe,equipment,impact,progression_level,duration_type,reps_duration,video_url,contra_indications,coaching_cues,tags
strenght_001,Squat,Squat,strength,hard,TRUE,FALSE,"Target, high target",high,,,5,https://youtube.com/shorts/yIKomPAxRSo,,,
PP2_001,Two Paws On,2 pootjes op,"balance, core, strength",beginner,TRUE,TRUE,"step, platform",Weight shift to the hindquarters and core activation,base,hold,"5–15 sec hold, 3–5 reps",https://youtube.com/shorts/yIKomPAxRSo,"knee injury (front limbs), shoulder issues","Neutral spine, nose parallel to the ground, weight on hindquarters, calm controlled stance","rear_end, core, weight_shift, foundation, low_impact"
